year;name;surname;sex;birth;death;country;contribution-sk;contribution-en
1901;Jacobus Henricus ;van ’t Hoff;M;1852;1911;Netherlands;ako uznanie za výnimočné služby ktoré poskytol svojim objavom zákonov chemickej dynamiky a osmotického tlaku v roztokoch;for his discovery of the laws of chemical dynamics and osmotic pressure in solutions
1902;Hermann Emil ;Fischer;M;1852;1919;Germany;ako uznanie za výnimočné služby ktoré poskytol svojou prácou na syntéze cukrov a purínov;for his work on sugar and purine syntheses
1903;Svante August ;Arrhenius;M;1859;1927;Sweden;ako uznanie za výnimočné služby ktoré poskytol pri pokroku v chémii svojou elektrolytickou teóriou disociácie;for his electrolytic theory of dissociation
1904;Sir William ;Ramsay;M;1852;1916;United Kingdom;ako uznanie za služby pri objave inertných plynných prvkov vo vzduchu a za určenie ich miesta v periodickom systéme;for his discovery of the inert gaseous elements in air, and his determination of their place in the periodic system
1905;Johann Friedrich Wilhelm Adolf Ritter ;von Baeyer;M;1835;1917;Germany;ako uznanie za služby pri pokroku v organickej chémii a v chemickom priemysle prostredníctvom svojej práce na organických farbivách a hydroaromatických zlúčeninách;for the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds
1906;Ferdinand Frederick Henri ;Moissan;M;1852;1907;France;ako uznanie za výnimočné služby ktoré poskytol svojim výskumom a izoláciou prvku fluór, ako aj za vývoj elektrickej pece, ktorá je po ňom pomenovaná;for his investigation and isolation of the element fluorine, and for [the electric furnace called after him
1907;Eduard ;Buchner;M;1860;1917;Germany;za svoj biochemický výskum a za objav bezbunkového kvasenia;for his biochemical researches and his discovery of cell-free fermentation
1908;Sir Ernest ;Rutherford;M;1871;1937;United Kingdom,New Zealand;za svoj výskum v oblasti rozpadu prvkov a chémie rádioaktívnych látok;for his investigations into the disintegration of the elements, and the chemistry of radioactive substances
1909;Friedrich Wilhelm ;Ostwald;M;1853;1932;Germany;ako uznanie za prácu v oblasti katalýzy a za svoj výskum v oblasti základných princípov riadiacich chemickú rovnováhu a rýchlosť reakcie;for his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction
1910;Otto ;Wallach;M;1847;1931;Germany;za jeho prácu na poli acyklických zlúčenín;for his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds
1911;Maria ;Curie-Skłodowska;F;1867;1934;Poland,France;za jej objav rádia a polónia a ďalšieho štúdia rádia;for the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element
1912;François Auguste Victor ;Grignard;M;1871;1935;France;za jeho objav Grignardovho činidla;for the discovery of the  Grignard reagent
1912;Paul;Sabatier;M;1854;1941;France;za jeho metódu hydrogenácie organických zlúčenín;for his method of hydrogenating organic compounds in the presence of finely disintegrated metals
1913;Alfred;Werner;M;1866;1919;Switzerland;za jeho prácu na spájaní atómov v molekulách;for his work on the linkage of atoms in molecules  especially in inorganic chemistry
1914;Theodore William ;Richards;M;1868;1928;United States;za jeho určenie atómovej hmotnosti veľkého počtu prvkov;for his accurate determinations of the atomic weight of a large number of chemical elements
1915;Richard Martin ;Willstätter;M;1872;1942;Germany;za jeho výskum rastlinných pigmentov;for his researches on plant pigments, especially chlorophyll
1918;Fritz ;Haber;M;1868;1934;Germany;za jeho syntézu amoniaku;for the synthesis of ammonia from its elements
1920;Walther Hermann ;Nernst;M;1864;1941;Germany;za jeho prácu v termochémii;for his work in thermochemistry
1921;Frederick ;Soddy;M;1877;1956;United Kingdom;za jeho prácu na chémii rádioaktívnych látok a výskum izotopov;for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes
1922;Francis William ;Aston;M;1877;1945;United Kingdom;za jeho objav izotopov veľkého množstva nerádioaktívnych prvkov a za jeho celočíselné pravidlo;for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule
1923;Fritz ;Pregl;M;1869;1930;Austria,Kingdom of Yugoslavia;za jeho objav metódy mikroanalýzy organických látok;for his invention of the method of micro-analysis of organic substances
