year;name;surname;sex;birth;death;country;contribution-sk;contribution-en
1901;Emil Adolf ;von Behring;M;1854;1917;Germany;za jeho práce týkajúce sa liečby sérom, obzvlášť za jeho podávanie pri diftérii, ktoré otvorilo novú cestu v oblasti lekárskej vedy, a tým vložilo do rúk lekárov víťaznú zbraň voči chorobám a smrti;for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths
1902;Sir Ronald;Ross;M;1857;1932;United Kingdom;za jeho práce týkajúce sa malárie, ktorými ukázal, ako sa dostáva do organizmu, a tým položil základ pre úspešný výskum tejto choroby a metód boja proti nej;for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it
1903;Niels Ryberg;Finsen;M;1860;1904;Denmark;ako uznanie jeho príspevku k liečbe chorôb, obzvlášť lupus vulgaris, koncentrovaným svetelným žiarením, čím otvoril novú cestu lekárskej vedy;for his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science
1904;Ivan Petrovič;Pavlov;M;1849;1936;Russia;ako uznanie jeho prác týkajúcich sa fyziológie trávenia, prostredníctvom ktorých sa zmenili a rozšírili vedomosti týkajúce sa vitálnych aspektov jedincov;in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged
1905;Robert;Koch;M;1843;1910;Germany;za jeho výskumy a objavy vo vzťahu k tuberkulóze;for his investigations and discoveries in relation to tuberculosis
1906;Camillo;Golgi;M;1843;1926;Italy;ako uznanie ich prác týkajúcich sa štruktúry nervovej sústavy;in recognition of their work on the structure of the nervous system
1906;Santiago ;Ramón y Cajal;M;1852;1934;Spain;ako uznanie ich prác týkajúcich sa štruktúry nervovej sústavy;in recognition of their work on the structure of the nervous system
1907;Charles Louis Alphonse;Laveran;M;1845;1922;France;ako uznanie jeho prác týkajúcich sa úlohy prvokov pri rozvoji chorôb;in recognition of his work on the role played by protozoa in causing diseases
1908;Ilia Iľjič;Mečnikov;M;1845;1916;Russia;ako uznanie ich prác týkajúcich sa úlohy imunity;in recognition of their work on immunity
1908;Paul;Ehrlich;M;1854;1915;Germany;ako uznanie ich prác týkajúcich sa úlohy imunity;in recognition of their work on immunity
1909;Emil Theodor;Kocher;M;1841;1917;Switzerland;za jeho práce týkajúce sa fyziológie, patológie a chirurgie štítnej žľazy;for his work on the physiology, pathology and surgery of the thyroid gland
1910;Albrecht;Kossel;M;1853;1927;Germany;ako uznanie jeho príspevku k našim vedomostiam z chémie bunky, najmä prostredníctvom jeho prác týkajúcich sa bielkovín vrátane nukleových substancií;in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances
1911;Allvar;Gullstrand;M;1862;1930;Sweden;za výskum spôsobu tvorby obrazu šošovkou oka;for his work on the dioptrics of the eye
1912;Alexis;Carrel;M;1873;1944;France;za prácu týkajúcu sa spôsobu zošívania ciev a transplantácií;for his work on vascular suture and the transplantation of blood vessels and organs
1913;Charles Robert;Richet;M;1850;1935;France;za objav anafylaxie;for his work on anaphylaxis
1914;Robert;Bárány;M;1876;1936;Austria,Hungary;za výskum vestibulárneho aparátu vnútorného ucha;for his work on the physiology and pathology of the vestibular apparatus
1919;Jules;Bordet;M;1870;1961;Belgium;za objav komplementu ako súčasti imunitného systému;for his discoveries relating to immunity
1920;Schack August Steenberg;Krogh;M;1874;1949;Denmark;za dôkaz, že výmena plynov v pľúcach sa uskutočňuje priamou difúziou;for his discovery of the capillary motor regulating mechanism
1922;Archibald Vivian;Hill;M;1886;1977;United Kingdom;za výskum produkcie tepla vo svaloch;for his discovery relating to the production of heat in the muscle
1922;Otto Fritz;Meyerhof;M;1884;1951;Germany;za výskum vzťahu medzi spotrebou kyslíku a metabolizmom kyseliny mliečnej vo svaloch;for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle
1923;Sir Frederick Grant;Banting;M;1891;1941;Canada;za objav inzulínu;for the discovery of insulin
